Name,teamID,WAR,salary,similarity_score,trend_score,composite_score
George Springer,UNK,5.2,41.6,87.32756442128802,5.0,70.5310257685152
Fernando Tatis Jr.,UNK,6.1,48.7,79.21090334681475,5.0,69.9843613387259
Jeremy Pena,UNK,5.7,45.7,81.488902130541,5.0,69.6955608522164
Maikel Garcia,UNK,5.6,45.1,81.79135862325897,5.0,69.5165434493036
Corbin Carroll,UNK,6.5,52.3,75.02346516353097,5.0,69.50938606541239
Jose Ramirez,UNK,6.3,50.4,72.0159721023021,5.0,67.70638884092084
Vladimir Guerrero Jr.,UNK,3.9,31.1,89.63514540030538,5.0,67.55405816012215
Bobby Witt Jr.,UNK,8.0,64.1,58.6512769753021,5.0,67.46051079012085
Shea Langeliers,UNK,3.9,31.6,87.90040838517858,5.0,66.86016335407143
Brice Turang,UNK,4.4,35.3,83.46238580460401,5.0,66.58495432184161
Francisco Lindor,UNK,6.3,50.2,73.85336838335026,3.999999999999999,66.4413473533401
Jazz Chisholm Jr.,UNK,4.4,35.1,88.08964017539958,4.0000000000000036,66.43585607015984
Wyatt Langford,UNK,4.1,32.5,84.7949280487495,5.0,66.21797121949979
Trea Turner,UNK,6.7,53.4,64.74112998418944,5.0,65.99645199367578
Ketel Marte,UNK,4.6,36.8,95.76103479867939,1.4999999999999991,65.10441391947175
Kyle Schwarber,UNK,4.9,39.4,75.14672985602117,5.0,64.75869194240846
Pete Alonso,UNK,3.6,28.7,88.21425745264327,4.000000000000002,64.08570298105731
Cody Bellinger,UNK,4.9,39.2,85.77153248640398,2.5,64.00861299456159
Michael Busch,UNK,3.5,28.0,82.97444269117324,5.0,63.6897770764693
Shohei Ohtani,UNK,7.5,59.8,54.07559197805254,4.500000000000002,63.13023679122102
Gunnar Henderson,UNK,4.8,38.1,93.15458251767862,0.4999999999999982,62.66183300707145
Byron Buxton,UNK,5.0,40.1,91.99019266704498,0.0,61.79607706681799
Sal Frelick,UNK,3.6,28.6,76.5870223693221,5.0,61.43480894772884
Ceddanne Rafaela,UNK,3.8,30.4,74.04752712342975,5.0,61.0190108493719
Zach McKinstry,UNK,3.2,25.3,77.88018299645245,5.0,60.75207319858098
Josh Naylor,UNK,3.1,25.2,77.61148997183666,5.0,60.34459598873467
Nico Hoerner,UNK,4.8,38.4,82.13603466714717,1.4999999999999991,60.25441386685887
Julio Rodriguez,UNK,5.7,45.8,84.01813553410426,-0.4999999999999982,59.707254213641704
Manny Machado,UNK,3.8,30.1,85.4357505117124,1.9999999999999996,59.57430020468496
Matt Chapman,UNK,3.7,29.6,74.30360415865694,4.000000000000002,58.82144166346278
Junior Caminero,UNK,4.6,36.5,86.11150754062005,0.0,58.24460301624802
Geraldo Perdomo,UNK,7.1,56.6,66.7732680746169,0.0,58.009307229846755
Alejandro Kirk,UNK,4.7,37.4,84.76735623520659,0.0,58.00694249408264
Pete Crow-Armstrong,UNK,5.4,43.0,78.6950322069211,0.0,57.67801288276844
Andy Pages,UNK,4.1,32.5,87.99860735872063,0.0,57.499442943488255
Trent Grisham,UNK,3.2,25.3,68.94583378745315,5.0,57.17833351498126
Willy Adames,UNK,4.0,32.4,72.83321280134665,3.0000000000000004,57.13328512053866
Cal Raleigh,UNK,9.1,72.5,21.480110369572692,5.0,55.892044147829075
CJ Abrams,UNK,3.1,25.1,71.1131139760913,4.000000000000002,55.745245590436525
Jake Cronenworth,UNK,2.9,23.3,67.32763738343701,5.0,55.6310549533748
Bryce Harper,UNK,3.5,27.8,84.70313127649163,0.0,54.38125251059665
Matt Olson,UNK,4.7,37.7,100.0,-5.0,54.1
Tyler Soderstrom,UNK,3.4,27.1,83.819800601916,0.0,53.727920240766394
Juan Soto,UNK,5.8,46.4,75.74732640701596,-2.0000000000000018,53.69893056280638
Hunter Goodman,UNK,3.4,27.2,83.64152179703605,0.0,53.656608718814425
Carlos Correa,UNK,2.6,20.9,63.58632259042327,5.0,53.234529036169306
Bo Bichette,UNK,3.8,30.6,82.97202453578831,-1.0000000000000009,52.588809814315326
Rafael Devers,UNK,3.3,26.6,85.00985316726269,-1.0000000000000009,51.90394126690508
Alec Burleson,UNK,2.1,16.9,63.97271408379016,5.0,51.88908563351606
Kyle Tucker,UNK,4.5,36.0,90.80749171581307,-4.0000000000000036,51.822996686325226
